day,component,proportion
20.0,formic acid,0.005076696327892962
20.0,alanine,0.03411336128330993
20.0,lactic acid,0.011260402024925968
20.0,myo-inositol,0.13219106783787976
20.0,succinic acid,0.015430236546625386
20.0,xanthineurea,0.005538136336150084
20.0,uracil,0.013064227432889996
20.0,allantoin,-0.0
20.0,creatinine,0.032951568735254434
20.0,indoxylsulfate,0.09453159065568091
20.0,hippuric acid,0.08366813637551083
20.0,3-hydroxyisovalerate,-0.0
20.0,pseudouridine,0.013733721652682485
20.0,N-acetyl-aspartic acid,0.0704780322982723
20.0,trigonelline,0.06151943360215011
20.0,trimethylamine,0.003018532027198399
20.0,trimethylamine-N-oxide,0.028041206103077358
20.0,tartaric acid,0.0006069886541846064
20.0,purine,-0.0
20.0,benzoic acid,0.00034129503441092705
20.0,7-methylxanthine,-0.0
20.0,1-methyluric acid,0.10195395451954525
20.0,3-aminoisobutyrate,0.10796120820973648
20.0,p-cresol sulfate,-0.0
30.0,S-3-hydroxyisobutyrate,0.03376067013313189
30.0,acetic acid,0.039446179558554506
30.0,creatine,0.007566705104087239
30.0,dimethylamine,0.0018640462055871082
30.0,citric acid,0.021802284928708407
30.0,glycine,-0.0
30.0,formic acid,0.0028677480811539354
30.0,alanine,0.03611985143598847
30.0,lactic acid,0.014090713806895708
30.0,myo-inositol,0.16098898388339364
30.0,succinic acid,0.02222782545026703
30.0,xanthineurea,0.0038117156381793915
30.0,uracil,0.011011337016880462
30.0,allantoin,-0.0
30.0,creatinine,0.044713257917392155
30.0,indoxylsulfate,0.11017049775384118
30.0,hippuric acid,0.09224576915481691
30.0,3-hydroxyisovalerate,0.03463179981927919
30.0,pseudouridine,0.015961568232920748
30.0,N-acetyl-aspartic acid,0.07225855477508246
30.0,trigonelline,0.07436208563587823
30.0,trimethylamine,0.0021727616155721805
30.0,trimethylamine-N-oxide,0.015165487237196398
30.0,tartaric acid,-0.0
30.0,purine,-0.0
30.0,benzoic acid,0.0007103383393134493
30.0,7-methylxanthine,-0.0
30.0,1-methyluric acid,0.11504388866881121
30.0,3-aminoisobutyrate,0.02225460363083439
30.0,p-cresol sulfate,0.010423630737174958
40.0,S-3-hydroxyisobutyrate,0.040905724001783536
40.0,acetic acid,0.04075470617058873
40.0,creatine,0.00756290062691989
40.0,dimethylamine,0.0005965857145586521
40.0,citric acid,0.016323511885415296
40.0,glycine,-0.0
40.0,formic acid,0.004106141249785771
40.0,alanine,0.034161210936838195
40.0,lactic acid,0.01113054030865598
40.0,myo-inositol,0.15197042889249343
40.0,succinic acid,0.01988464192794719
40.0,xanthineurea,0.004810491709536439
40.0,uracil,0.012479585680836994
40.0,allantoin,-0.0
40.0,creatinine,0.04060143598323528
40.0,indoxylsulfate,0.11584161639922644
40.0,hippuric acid,0.10748048644805194
40.0,3-hydroxyisovalerate,0.009552040626533627
40.0,pseudouridine,0.016255399355543494
40.0,N-acetyl-aspartic acid,0.09058310760386777
40.0,trigonelline,0.08126740252025871
40.0,trimethylamine,0.0030323785873893143
40.0,trimethylamine-N-oxide,0.016109406088065235
40.0,tartaric acid,-0.0
40.0,purine,-0.0
40.0,benzoic acid,0.0003658579486377263
40.0,7-methylxanthine,-0.0
40.0,1-methyluric acid,0.11497875305076094
40.0,3-aminoisobutyrate,0.01854532877378857
40.0,p-cresol sulfate,0.005054186448817277
50.0,S-3-hydroxyisobutyrate,0.03587553414151992
50.0,acetic acid,0.0593436787566246
50.0,creatine,0.006687962482801471
50.0,dimethylamine,0.0017124752087837047
50.0,citric acid,0.010560412336022871
50.0,glycine,-0.0
50.0,formic acid,0.00448001218069296
50.0,alanine,0.036220190376835465
50.0,lactic acid,0.013232636143050128
50.0,myo-inositol,0.13685332060991487
50.0,succinic acid,0.027584433028653665
50.0,xanthineurea,0.005317862643817718
50.0,uracil,0.01595238281385322
50.0,allantoin,-0.0
50.0,creatinine,0.03987929892318499
50.0,indoxylsulfate,0.12314732239170727
50.0,hippuric acid,0.11396985298509502
50.0,3-hydroxyisovalerate,-0.0
50.0,pseudouridine,0.014406201136836116
50.0,N-acetyl-aspartic acid,0.07331365911483358
50.0,trigonelline,0.07925609459998059
50.0,trimethylamine,0.001976378667222858
50.0,trimethylamine-N-oxide,0.013588970641751156
50.0,tartaric acid,-0.0
50.0,purine,-0.0
50.0,benzoic acid,0.0008366702796819004
50.0,7-methylxanthine,-0.0
50.0,1-methyluric acid,0.09151760331123508
50.0,3-aminoisobutyrate,0.027791881416437018
50.0,p-cresol sulfate,0.014930461284843065
60.0,S-3-hydroxyisobutyrate,0.044432600166794164
60.0,acetic acid,0.03834369135095165
60.0,creatine,0.010354858809852794
60.0,dimethylamine,-0.0
60.0,citric acid,0.02397738285385666
60.0,glycine,-0.0
60.0,formic acid,0.0016331658027348276
60.0,alanine,0.039685297007643186
60.0,lactic acid,0.021448465719769043
60.0,myo-inositol,0.1509707362265519
60.0,succinic acid,0.020164653638886938
60.0,xanthineurea,0.004451613343607018
60.0,uracil,0.013491096927194557
60.0,allantoin,-0.0
60.0,creatinine,0.038516760118454466
60.0,indoxylsulfate,0.12701582348617366
60.0,hippuric acid,0.08032790603852304
60.0,3-hydroxyisovalerate,-0.0
60.0,pseudouridine,0.015854806283952774
60.0,N-acetyl-aspartic acid,0.07525243703571431
60.0,trigonelline,0.071728510720985
60.0,trimethylamine,0.0018066197207610229
60.0,trimethylamine-N-oxide,0.014984363101502994
60.0,tartaric acid,-0.0
60.0,purine,-0.0
60.0,benzoic acid,0.0003624187435137516
60.0,7-methylxanthine,-0.0
60.0,1-methyluric acid,0.10776878596987792
60.0,3-aminoisobutyrate,0.03600987815371839
60.0,p-cresol sulfate,-0.0
70.0,S-3-hydroxyisobutyrate,0.048069021379822
70.0,acetic acid,0.05221186746924014
70.0,creatine,0.02697815274575763
70.0,dimethylamine,0.0015820143601001993
70.0,citric acid,0.01741201230835285
70.0,glycine,-0.0
70.0,formic acid,0.0040012972025057405
70.0,alanine,0.03622424935569079
70.0,lactic acid,0.014507411412245012
70.0,myo-inositol,0.13994373870177984
70.0,succinic acid,0.0249114113208413
70.0,xanthineurea,0.0029152822878630545
70.0,uracil,0.017443323421444005
70.0,allantoin,-0.0
70.0,creatinine,0.04077943092051397
70.0,indoxylsulfate,0.12953892494619768
70.0,hippuric acid,0.07510290164805862
70.0,3-hydroxyisovalerate,-0.0
70.0,pseudouridine,0.014503357174496039
70.0,N-acetyl-aspartic acid,0.08047285602467466
70.0,trigonelline,0.08594839954911593
70.0,trimethylamine,0.006145522059498509
70.0,trimethylamine-N-oxide,0.012349913050848944
70.0,tartaric acid,-0.0
70.0,purine,-0.0
70.0,benzoic acid,0.0004054420214667568
70.0,7-methylxanthine,-0.0
70.0,1-methyluric acid,0.0796007329954912
70.0,3-aminoisobutyrate,0.030650714254979
70.0,p-cresol sulfate,-0.0
80.0,S-3-hydroxyisobutyrate,0.04156629148525044
80.0,acetic acid,0.04080201067707097
80.0,creatine,0.00961698329172293
80.0,dimethylamine,0.0012221606221319182
80.0,citric acid,0.02199568046623053
80.0,glycine,-0.0
80.0,formic acid,0.0022592005134869165
80.0,alanine,0.03701690056519163
80.0,lactic acid,0.014730080928810672
80.0,myo-inositol,0.14139450366371742
80.0,succinic acid,0.025076728741728855
80.0,xanthineurea,0.0033782933149003585
80.0,uracil,0.01749456748943163
80.0,allantoin,-0.0
80.0,creatinine,0.03631700134436811
80.0,indoxylsulfate,0.14575071483334512
80.0,hippuric acid,0.09260850537760189
80.0,3-hydroxyisovalerate,-0.0
80.0,pseudouridine,0.01735170600367085
80.0,N-acetyl-aspartic acid,0.0878535588232018
80.0,trigonelline,0.07826265265849858
80.0,trimethylamine,0.0025155408573637886
80.0,trimethylamine-N-oxide,0.012543918023777427
80.0,tartaric acid,-0.0
80.0,purine,-0.0
80.0,benzoic acid,0.0002828782776370615
80.0,7-methylxanthine,-0.0
80.0,1-methyluric acid,0.10352429889859734
80.0,3-aminoisobutyrate,0.021908394496633073
80.0,p-cresol sulfate,0.004234578823276728
90.0,S-3-hydroxyisobutyrate,0.03332686970120968
90.0,acetic acid,0.048580699567222475
90.0,creatine,0.007053924044327844
90.0,dimethylamine,-0.0
90.0,citric acid,0.021972845955553107
90.0,glycine,-0.0
90.0,formic acid,0.0041219001247818935
90.0,alanine,0.036373942577390184
90.0,lactic acid,0.013746891577484394
90.0,myo-inositol,0.13339572577492095
90.0,succinic acid,0.018183301077401726
90.0,xanthineurea,0.004401828864052017
90.0,uracil,0.01204273127460892
90.0,allantoin,-0.0
90.0,creatinine,0.03505347800573842
90.0,indoxylsulfate,0.1277501363073986
90.0,hippuric acid,0.12909922502931984
90.0,3-hydroxyisovalerate,-0.0
90.0,pseudouridine,0.0159881189707556
90.0,N-acetyl-aspartic acid,0.08031240899424151
90.0,trigonelline,0.07053165217524561
90.0,trimethylamine,0.0032416755239380794
90.0,trimethylamine-N-oxide,0.017488724208510394
90.0,tartaric acid,-0.0
90.0,purine,-0.0
90.0,benzoic acid,0.00036777532902546387
90.0,7-methylxanthine,-0.0
90.0,1-methyluric acid,0.10117674720401053
90.0,3-aminoisobutyrate,0.012478168740210526
90.0,p-cresol sulfate,0.013742484325801956
100.0,S-3-hydroxyisobutyrate,0.03898324114451034
100.0,acetic acid,0.05061237241628367
100.0,creatine,0.04067055824325046
100.0,dimethylamine,-0.0
100.0,citric acid,0.028222605386078656
100.0,glycine,-0.0
100.0,formic acid,0.003263948838094767
100.0,alanine,0.03819942752748783
100.0,lactic acid,0.017411634926799847
100.0,myo-inositol,0.15197358934578756
100.0,succinic acid,0.02178916444676719
100.0,xanthineurea,0.0034399199599100083
100.0,uracil,0.021082032475609417
100.0,allantoin,-0.0
100.0,creatinine,0.044412272281834704
100.0,indoxylsulfate,0.11769302097521724
100.0,hippuric acid,0.060184243732181196
100.0,3-hydroxyisovalerate,-0.0
100.0,pseudouridine,0.016549289299850233
100.0,N-acetyl-aspartic acid,0.07477277291085685
100.0,trigonelline,0.0816161339678215
100.0,trimethylamine,0.0028505801056699187
100.0,trimethylamine-N-oxide,0.01799137368076952
100.0,tartaric acid,-0.0
100.0,purine,-0.0
100.0,benzoic acid,0.0005167868194442176
100.0,7-methylxanthine,-0.0
100.0,1-methyluric acid,0.08521131436744454
100.0,3-aminoisobutyrate,0.016207555747671753
100.0,p-cresol sulfate,0.01131058974890159
110.0,S-3-hydroxyisobutyrate,0.03778231279497602
110.0,acetic acid,0.05556478118715296
110.0,creatine,0.04374930645117438
110.0,dimethylamine,0.002092077982396601
110.0,citric acid,0.021125524516860675
110.0,glycine,-0.0
110.0,formic acid,0.004169276815197794
110.0,alanine,0.036380988690306953
110.0,lactic acid,0.014490748831046885
110.0,myo-inositol,0.14684495544059278
110.0,succinic acid,0.03002137634560733
110.0,xanthineurea,0.003669105757705693
110.0,uracil,0.025057895891923473
110.0,allantoin,-0.0
110.0,creatinine,0.03834976598794417
110.0,indoxylsulfate,0.09528297426943508
110.0,hippuric acid,0.09631268836532711
110.0,3-hydroxyisovalerate,-0.0
110.0,pseudouridine,0.016577050425790617
110.0,N-acetyl-aspartic acid,0.06872042562376507
110.0,trigonelline,0.0839565698859771
110.0,trimethylamine,0.002294838722060461
110.0,trimethylamine-N-oxide,0.016129932480084246
110.0,tartaric acid,-0.0
110.0,purine,-0.0
110.0,benzoic acid,0.0009695481510369255
110.0,7-methylxanthine,-0.0
110.0,1-methyluric acid,0.07074327249195016
110.0,3-aminoisobutyrate,0.018060946316179487
110.0,p-cresol sulfate,0.01877944436187389
120.0,S-3-hydroxyisobutyrate,0.04783977785771905
120.0,acetic acid,0.044868606368827044
120.0,creatine,0.010823535739600616
120.0,dimethylamine,-0.0
120.0,citric acid,0.026394267907269207
120.0,glycine,-0.0
120.0,formic acid,0.0021647759300293663
120.0,alanine,0.0388670398985778
120.0,lactic acid,0.015067777219445211
120.0,myo-inositol,0.13991210427091103
120.0,succinic acid,0.01641571488913226
120.0,xanthineurea,0.003339675482575043
120.0,uracil,0.019375438000247765
120.0,allantoin,-0.0
120.0,creatinine,0.03835113913914011
120.0,indoxylsulfate,0.130727196964545
120.0,hippuric acid,0.09607380298581053
120.0,3-hydroxyisovalerate,-0.0
120.0,pseudouridine,0.016479295912901502
120.0,N-acetyl-aspartic acid,0.06998212544647459
120.0,trigonelline,0.06815039099196746
120.0,trimethylamine,0.0012964161761947319
120.0,trimethylamine-N-oxide,0.02381606488059373
120.0,tartaric acid,-0.0
120.0,purine,-0.0
120.0,benzoic acid,0.0006351158478586162
120.0,7-methylxanthine,-0.0
120.0,1-methyluric acid,0.10100460072597683
120.0,3-aminoisobutyrate,0.005282137552811845
120.0,p-cresol sulfate,-0.0
130.0,S-3-hydroxyisobutyrate,0.045850793943985065
130.0,acetic acid,0.03404430999645506
130.0,creatine,0.015675477146740915
130.0,dimethylamine,0.00010231220022890247
130.0,citric acid,0.027248346730243605
130.0,glycine,-0.0
130.0,formic acid,0.0028384020783992396
130.0,alanine,0.03779623262936739
130.0,lactic acid,0.01446468809396371
130.0,myo-inositol,0.15944510949616528
130.0,succinic acid,0.01863873627053242
130.0,xanthineurea,0.004214326280814321
130.0,uracil,0.021919221024635487
130.0,allantoin,-0.0
130.0,creatinine,0.04055133220583006
130.0,indoxylsulfate,0.14065539455649667
130.0,hippuric acid,0.05678973903543449
130.0,3-hydroxyisovalerate,-0.0
130.0,pseudouridine,0.018779617375925272
130.0,N-acetyl-aspartic acid,0.0914139222707829
130.0,trigonelline,0.07958353982280351
130.0,trimethylamine,0.002410600228567274
130.0,trimethylamine-N-oxide,0.012770464433012009
130.0,tartaric acid,-0.0
130.0,purine,-0.0
130.0,benzoic acid,0.0008672544810177297
130.0,7-methylxanthine,-0.0
130.0,1-methyluric acid,0.11097986218430979
130.0,3-aminoisobutyrate,0.01892590810465796
130.0,p-cresol sulfate,-0.0
140.0,S-3-hydroxyisobutyrate,0.0480847184047167
140.0,acetic acid,0.051306173760524446
140.0,creatine,0.01860696304878695
140.0,dimethylamine,0.002029571949289769
140.0,citric acid,0.018733692824113225
140.0,glycine,-0.0
140.0,formic acid,0.0058289730344163295
140.0,alanine,0.03484637116408375
140.0,lactic acid,0.01869463246177166
140.0,myo-inositol,0.1525309348445174
140.0,succinic acid,0.025823183573310288
140.0,xanthineurea,0.004083874531492751
140.0,uracil,0.013322792109656508
140.0,allantoin,-0.0
140.0,creatinine,0.03516041036007217
140.0,indoxylsulfate,0.12534551038939698
140.0,hippuric acid,0.07359594384233836
140.0,3-hydroxyisovalerate,-0.0
140.0,pseudouridine,0.014150266464632206
140.0,N-acetyl-aspartic acid,0.0729158059577612
140.0,trigonelline,0.0733183821749669
140.0,trimethylamine,0.0030839110637631527
140.0,trimethylamine-N-oxide,0.018823720172375165
140.0,tartaric acid,-0.0
140.0,purine,-0.0
140.0,benzoic acid,0.0006339698616909533
140.0,7-methylxanthine,-0.0
140.0,1-methyluric acid,0.10346227173881672
140.0,3-aminoisobutyrate,0.020157271009139756
140.0,p-cresol sulfate,0.005519952672179722
150.0,S-3-hydroxyisobutyrate,0.044295730659315725
150.0,acetic acid,0.05368230066004705
150.0,creatine,0.010161428832248257
150.0,dimethylamine,6.83119719247913e-05
150.0,citric acid,0.0210197549744048
150.0,glycine,-0.0
150.0,formic acid,0.0032199929805770957
150.0,alanine,0.0372304832582689
150.0,lactic acid,0.017662565190540724
150.0,myo-inositol,0.14056498933613967
150.0,succinic acid,0.027017427960128997
150.0,xanthineurea,0.0036570962254092593
150.0,uracil,0.02284813699352048
150.0,allantoin,-0.0
150.0,creatinine,0.03849579951371932
150.0,indoxylsulfate,0.14151472677291863
150.0,hippuric acid,0.07812556889260232
150.0,3-hydroxyisovalerate,-0.0
150.0,pseudouridine,0.014915742105331342
150.0,N-acetyl-aspartic acid,0.07623216495714678
150.0,trigonelline,0.07572463633117567
150.0,trimethylamine,0.002309589284718372
150.0,trimethylamine-N-oxide,0.02392752539641006
150.0,tartaric acid,-0.0
150.0,purine,-0.0
150.0,benzoic acid,0.00028505756473011734
150.0,7-methylxanthine,-0.0
150.0,1-methyluric acid,0.08238368269194785
150.0,3-aminoisobutyrate,0.01578259669195265
150.0,p-cresol sulfate,0.003584419908764766
160.0,S-3-hydroxyisobutyrate,0.05511787134486976
160.0,acetic acid,0.051891165523053416
160.0,creatine,0.008158398323096734
160.0,dimethylamine,0.0015618047171875036
160.0,citric acid,0.010182206885684086
160.0,glycine,-0.0
160.0,formic acid,0.003730540488160494
160.0,alanine,0.03406297414940893
160.0,lactic acid,0.017893520383350757
160.0,myo-inositol,0.16609242389031506
160.0,succinic acid,0.025416135956201392
160.0,xanthineurea,0.0039991665258542145
160.0,uracil,0.016905583318837646
160.0,allantoin,-0.0
160.0,creatinine,0.03290310879875411
160.0,indoxylsulfate,0.0906706700315479
160.0,hippuric acid,0.09476750855557915
160.0,3-hydroxyisovalerate,-0.0
160.0,pseudouridine,0.017201950241883653
160.0,N-acetyl-aspartic acid,0.06391853353265148
160.0,trigonelline,0.06904797650442766
160.0,trimethylamine,0.0009155051020911323
160.0,trimethylamine-N-oxide,0.020185165388983864
160.0,tartaric acid,-0.0
160.0,purine,-0.0
160.0,benzoic acid,0.000610750980326772
160.0,7-methylxanthine,-0.0
160.0,1-methyluric acid,0.08117788984478187
160.0,3-aminoisobutyrate,0.011797090898394433
160.0,p-cresol sulfate,0.057818397011794094
170.0,S-3-hydroxyisobutyrate,0.036474269949957325
170.0,acetic acid,0.04698425669388471
170.0,creatine,0.04190766480221792
170.0,dimethylamine,0.00462511712024467
170.0,citric acid,0.017008714195911823
170.0,glycine,-0.0
170.0,formic acid,0.0024501608351257358
170.0,alanine,0.03536517278265396
170.0,lactic acid,0.015145001065013751
170.0,myo-inositol,0.15299435377809126
170.0,succinic acid,0.029861322653550796
170.0,xanthineurea,0.003419223579646018
170.0,uracil,0.015524816704161455
170.0,allantoin,-0.0
170.0,creatinine,0.04449972496162135
170.0,indoxylsulfate,0.09694819700585859
170.0,hippuric acid,0.09764475005749193
170.0,3-hydroxyisovalerate,-0.0
170.0,pseudouridine,0.015509206062409733
170.0,N-acetyl-aspartic acid,0.06466757369402919
170.0,trigonelline,0.08218736225055692
170.0,trimethylamine,0.002148085872072855
170.0,trimethylamine-N-oxide,0.01500393059694994
170.0,tartaric acid,-0.0
170.0,purine,-0.0
170.0,benzoic acid,0.0005772752453447018
170.0,7-methylxanthine,-0.0
170.0,1-methyluric acid,0.07784834144864954
170.0,3-aminoisobutyrate,0.03316023135217862
170.0,p-cresol sulfate,0.014969651950419507
180.0,S-3-hydroxyisobutyrate,0.12249772078742349
180.0,acetic acid,0.04366776175240382
180.0,creatine,0.014896927935686527
180.0,dimethylamine,-0.0
180.0,citric acid,-0.0
180.0,glycine,-0.0
180.0,formic acid,0.0032407324068279043
180.0,alanine,0.02974446775884748
180.0,lactic acid,0.02001384922302775
180.0,myo-inositol,0.19095409232655383
180.0,succinic acid,0.0076483549448237795
180.0,xanthineurea,0.005248965700795892
180.0,uracil,0.014730049786131077
180.0,allantoin,-0.0
180.0,creatinine,0.020412166374444665
180.0,indoxylsulfate,0.06497952337652128
180.0,hippuric acid,0.08986090565680159
180.0,3-hydroxyisovalerate,0.008660466539263521
180.0,pseudouridine,0.05869012739831265
180.0,N-acetyl-aspartic acid,0.05247875794153999
180.0,trigonelline,0.048610133066821264
180.0,trimethylamine,0.002712974124698308
180.0,trimethylamine-N-oxide,0.00944557851498894
180.0,tartaric acid,-0.0
180.0,purine,-0.0
180.0,benzoic acid,0.0005339428551746533
180.0,7-methylxanthine,-0.0
180.0,1-methyluric acid,0.07165963764305806
180.0,3-aminoisobutyrate,-0.0
180.0,p-cresol sulfate,0.07065404809793728
190.0,S-3-hydroxyisobutyrate,0.03632486237128153
190.0,acetic acid,0.0476582422620202
190.0,creatine,0.007946861914534274
190.0,dimethylamine,0.00031423874387596435
190.0,citric acid,0.018385233798468337
190.0,glycine,-0.0
190.0,formic acid,0.0030725424551650594
190.0,alanine,0.0334795376218806
190.0,lactic acid,0.016829831850483628
190.0,myo-inositol,0.13829285367745134
190.0,succinic acid,0.025852470569489822
190.0,xanthineurea,0.00669664057529461
190.0,uracil,0.013955971475292994
190.0,allantoin,-0.0
190.0,creatinine,0.04260239627255253
190.0,indoxylsulfate,0.14081070771419696
190.0,hippuric acid,0.08930459264733642
190.0,3-hydroxyisovalerate,-0.0
190.0,pseudouridine,0.01459708325950235
190.0,N-acetyl-aspartic acid,0.07355358272042097
190.0,trigonelline,0.07670295272898464
190.0,trimethylamine,0.0023028046164978674
190.0,trimethylamine-N-oxide,0.025360830825345137
190.0,tartaric acid,-0.0
190.0,purine,-0.0
190.0,benzoic acid,0.0010623311757315612
190.0,7-methylxanthine,-0.0
190.0,1-methyluric acid,0.09088268759744617
190.0,3-aminoisobutyrate,0.02441898430227425
190.0,p-cresol sulfate,0.008653725348392602
200.0,S-3-hydroxyisobutyrate,0.03627778540062204
200.0,acetic acid,0.048402313716266056
200.0,creatine,0.008826821867381525
200.0,dimethylamine,0.00275342629104639
200.0,citric acid,0.01404921611546765
200.0,glycine,-0.0
200.0,formic acid,0.0036475934385536584
200.0,alanine,0.0377021945659744
200.0,lactic acid,0.01616270333626213
200.0,myo-inositol,0.1497269995318307
200.0,succinic acid,0.02880171454692948
200.0,xanthineurea,0.0037295456549599234
200.0,uracil,0.0185919627336892
200.0,allantoin,-0.0
200.0,creatinine,0.043528222310096676
200.0,indoxylsulfate,0.13164252001427904
200.0,hippuric acid,0.0836705221275021
200.0,3-hydroxyisovalerate,-0.0
200.0,pseudouridine,0.015319390460099003
200.0,N-acetyl-aspartic acid,0.06957258412894321
200.0,trigonelline,0.08427447757078503
200.0,trimethylamine,0.001042217802408724
200.0,trimethylamine-N-oxide,0.015404915881138828
200.0,tartaric acid,-0.0
200.0,purine,-0.0
200.0,benzoic acid,0.0009609757490537741
200.0,7-methylxanthine,-0.0
200.0,1-methyluric acid,0.07640251055661822
200.0,3-aminoisobutyrate,0.02968406090300808
200.0,p-cresol sulfate,0.012737551456606776
210.0,S-3-hydroxyisobutyrate,0.04092933108701656
210.0,acetic acid,0.04862747971607697
210.0,creatine,0.012643619367876516
210.0,dimethylamine,0.0009672340752237935
210.0,citric acid,0.018922885862975383
210.0,glycine,-0.0
210.0,formic acid,0.003108087281064782
210.0,alanine,0.03600941805491933
210.0,lactic acid,0.018002731437040308
210.0,myo-inositol,0.14641838514794134
210.0,succinic acid,0.024273501691803652
210.0,xanthineurea,0.003672144058725033
210.0,uracil,0.020859553757831797
210.0,allantoin,-0.0
210.0,creatinine,0.04478460061844946
210.0,indoxylsulfate,0.1413327884307509
210.0,hippuric acid,0.07834697348324307
210.0,3-hydroxyisovalerate,-0.0
210.0,pseudouridine,0.01595187519184256
210.0,N-acetyl-aspartic acid,0.07175096158958724
210.0,trigonelline,0.0777629454418504
210.0,trimethylamine,0.0008559477638383886
210.0,trimethylamine-N-oxide,0.018131561754869727
210.0,tartaric acid,-0.0
210.0,purine,-0.0
210.0,benzoic acid,0.0004164644256537108
210.0,7-methylxanthine,-0.0
210.0,1-methyluric acid,0.08110550616089675
210.0,3-aminoisobutyrate,0.0244229877316067
210.0,p-cresol sulfate,0.007695373703777841
220.0,S-3-hydroxyisobutyrate,0.03527044224178977
220.0,acetic acid,0.05934413766578447
220.0,creatine,0.024181779871277807
220.0,dimethylamine,0.0026676991307375284
220.0,citric acid,0.01305646354842354
220.0,glycine,-0.0
220.0,formic acid,0.0043690001470828715
220.0,alanine,0.034916369158693186
220.0,lactic acid,0.01674873002142405
220.0,myo-inositol,0.1551816936538931
220.0,succinic acid,0.030256424355704577
220.0,xanthineurea,0.00664286867125529
220.0,uracil,0.018759535772397234
220.0,allantoin,-0.0
220.0,creatinine,0.04114711841488237
220.0,indoxylsulfate,0.12007117395003447
220.0,hippuric acid,0.0684250097310959
220.0,3-hydroxyisovalerate,-0.0
220.0,pseudouridine,0.014165230369684685
220.0,N-acetyl-aspartic acid,0.05604592241247915
220.0,trigonelline,0.07982291715619716
220.0,trimethylamine,0.0022321043004753425
220.0,trimethylamine-N-oxide,0.02166737469320144
220.0,tartaric acid,-0.0
